message,label
"Congratulations! You won a free lottery","spam"
"Hey, are you coming to class today?","ham"
"Win a free iPhone now","spam"
"Can you send me the notes?","ham"
"You have won a cash prize","spam"
"Let's meet tomorrow","ham"
"Get free money by clicking this link","spam"
"Your assignment is due tomorrow","ham"
"Claim your free gift now","spam"
"Are you free this evening?","ham"
"Congratulations you won a prize","spam"
"Please call me when you are free","ham"
"Free entry in a competition","spam"
"Don't forget to bring your book","ham"
"Click here to win a free reward","spam"
"Can you help me with this question?","ham"
